iter	Passed	Remaining
0	2	257
1	5	254
2	7	247
3	9	231
4	12	230
5	14	228
6	17	226
7	19	223
8	21	218
9	23	215
10	26	213
11	28	210
12	31	207
13	33	205
14	35	203
15	38	201
16	40	199
17	43	197
18	45	196
19	48	193
20	50	191
21	53	189
22	55	187
23	58	184
24	60	182
25	63	180
26	65	177
27	68	174
28	70	172
29	72	169
30	75	167
31	77	164
32	79	162
33	82	160
34	85	158
35	87	155
36	89	153
37	92	151
38	95	148
39	97	146
40	99	143
41	100	139
42	103	136
43	105	134
44	108	132
45	110	129
46	113	127
47	115	125
48	117	122
49	120	120
50	122	117
51	124	115
52	127	112
53	129	110
54	131	107
55	133	105
56	136	102
57	138	100
58	141	97
59	143	95
60	145	93
61	148	90
62	150	88
63	153	86
64	155	83
65	158	81
66	160	79
67	163	76
68	165	74
69	167	71
70	170	69
71	172	67
72	175	65
73	178	62
74	180	60
75	183	57
76	185	55
77	188	53
78	190	50
79	193	48
80	195	45
81	198	43
82	200	41
83	203	38
84	205	36
85	208	33
86	210	31
87	212	29
88	215	26
89	217	24
90	219	21
91	222	19
92	224	16
93	227	14
94	229	12
95	231	9
96	234	7
97	236	4
98	239	2
99	241	0
