iter	Passed	Remaining
0	2	231
1	4	218
2	6	214
3	8	201
4	10	200
5	12	197
6	14	196
7	16	194
8	19	194
9	21	192
10	23	189
11	25	189
12	27	186
13	29	183
14	32	181
15	34	179
16	36	177
17	38	175
18	40	173
19	42	171
20	44	169
21	47	167
22	49	164
23	51	163
24	53	160
25	55	158
26	57	156
27	59	154
28	62	152
29	64	149
30	66	147
31	68	145
32	70	143
33	72	141
34	74	139
35	77	136
36	79	134
37	81	132
38	83	130
39	85	128
40	87	126
41	88	122
42	90	120
43	92	118
44	95	116
45	96	113
46	99	111
47	101	109
48	103	107
49	105	105
50	107	103
51	109	101
52	112	99
53	114	97
54	115	94
55	117	92
56	119	90
57	121	88
58	124	86
59	126	84
60	128	82
61	130	80
62	132	77
63	134	75
64	137	73
65	139	71
66	141	69
67	143	67
68	145	65
69	147	63
70	149	61
71	151	59
72	154	56
73	156	54
74	158	52
75	160	50
76	162	48
77	164	46
78	166	44
79	168	42
80	170	40
81	173	38
82	175	35
83	177	33
84	179	31
85	181	29
86	184	27
87	186	25
88	188	23
89	190	21
90	192	19
91	195	16
92	197	14
93	199	12
94	201	10
95	204	8
96	206	6
97	208	4
98	210	2
99	212	0
