iter	Passed	Remaining
0	156	156093
1	162	80936
2	166	55191
3	169	42180
4	173	34535
5	180	29838
6	186	26500
7	190	23670
8	194	21414
9	197	19560
10	200	18059
11	207	17116
12	211	16076
13	219	15452
14	223	14687
15	227	13966
16	232	13439
17	237	12944
18	240	12442
19	244	11965
20	247	11524
21	250	11140
22	253	10764
23	256	10425
24	261	10215
25	265	9944
26	268	9664
27	270	9401
28	273	9162
29	276	8948
30	279	8737
31	282	8535
32	284	8341
33	288	8195
34	292	8053
35	294	7895
36	297	7739
37	300	7599
38	303	7475
39	307	7371
40	309	7241
41	312	7123
42	314	7008
43	318	6911
44	321	6813
45	323	6703
46	325	6601
47	329	6530
48	335	6512
49	338	6428
50	341	6346
51	344	6272
52	347	6216
53	351	6151
54	354	6083
55	357	6021
56	360	5962
57	364	5922
58	367	5855
59	370	5804
60	373	5747
61	376	5697
62	379	5646
63	382	5593
64	385	5545
65	388	5497
66	391	5455
67	395	5415
68	398	5378
69	402	5341
70	405	5309
71	409	5283
72	413	5246
73	416	5208
74	418	5165
75	422	5135
76	426	5109
77	429	5074
78	432	5039
79	435	5009
80	439	4985
81	442	4953
82	444	4907
83	447	4876
84	452	4870
85	455	4845
86	460	4829
87	464	4812
88	469	4802
89	472	4776
90	476	4755
91	481	4755
92	485	4734
93	488	4705
94	491	4682
95	498	4696
96	501	4670
97	504	4648
98	507	4619
99	511	4605
100	514	4581
101	517	4555
102	520	4529
103	523	4506
104	527	4493
105	530	4471
106	532	4447
107	535	4424
108	538	4403
109	541	4385
110	545	4366
111	547	4342
112	550	4319
113	552	4295
114	556	4282
115	559	4265
116	562	4242
117	570	4261
118	574	4249
119	577	4235
120	580	4216
121	582	4192
122	587	4187
123	591	4177
124	594	4161
125	597	4144
126	600	4127
127	604	4115
128	608	4107
129	611	4089
130	617	4093
131	623	4099
132	628	4095
133	632	4089
134	635	4074
135	639	4062
136	641	4043
137	646	4040
138	652	4042
139	657	4039
140	663	4042
141	666	4027
142	670	4016
143	675	4012
144	679	4006
145	683	3996
146	695	4035
147	701	4039
148	709	4053
149	715	4056
150	719	4048
151	725	4047
152	728	4033
153	732	4021
154	738	4025
155	742	4015
156	746	4006
157	751	4002
158	754	3992
159	757	3978
160	760	3964
161	767	3969
162	771	3963
163	776	3957
164	782	3957
165	786	3949
166	790	3945
167	794	3935
168	798	3927
169	803	3924
170	810	3931
171	814	3921
172	817	3909
173	831	3949
174	837	3947
175	843	3948
176	849	3947
177	861	3978
178	864	3966
179	868	3958
180	880	3983
181	886	3984
182	897	4006
183	904	4012
184	910	4009
185	917	4013
186	921	4005
187	926	4001
188	932	3999
189	936	3992
190	939	3979
191	944	3974
192	950	3973
193	955	3971
194	961	3970
195	964	3957
196	968	3946
197	971	3934
198	975	3926
199	978	3915
200	982	3906
201	986	3895
202	991	3894
203	996	3887
204	999	3877
205	1011	3898
206	1015	3888
207	1019	3881
208	1024	3876
209	1029	3871
210	1040	3891
211	1046	3889
212	1050	3883
213	1054	3874
214	1060	3871
215	1066	3871
216	1070	3863
217	1077	3863
218	1084	3869
219	1089	3863
220	1093	3853
221	1096	3842
222	1099	3830
223	1103	3821
224	1107	3814
225	1111	3806
226	1114	3796
227	1118	3786
228	1122	3780
229	1127	3773
230	1131	3767
231	1136	3763
232	1142	3759
233	1146	3753
234	1151	3749
235	1156	3743
236	1159	3734
237	1164	3729
238	1169	3724
239	1173	3715
240	1176	3704
241	1180	3696
242	1184	3688
243	1187	3678
244	1190	3668
245	1198	3674
246	1204	3672
247	1207	3662
248	1211	3655
249	1215	3647
250	1218	3635
251	1220	3623
252	1224	3615
253	1228	3607
254	1231	3596
255	1233	3585
256	1240	3585
257	1243	3577
258	1246	3567
259	1249	3556
260	1252	3546
261	1256	3539
262	1260	3530
263	1263	3523
264	1269	3520
265	1275	3519
266	1278	3511
267	1281	3501
268	1285	3494
269	1289	3487
270	1293	3478
271	1296	3470
272	1301	3465
273	1305	3457
274	1308	3448
275	1312	3442
276	1316	3435
277	1319	3427
278	1322	3418
279	1326	3410
280	1330	3403
281	1333	3396
282	1336	3387
283	1339	3378
284	1344	3373
285	1348	3366
286	1351	3357
287	1354	3348
288	1358	3341
289	1361	3334
290	1365	3326
291	1368	3317
292	1371	3310
293	1375	3303
294	1379	3296
295	1382	3288
296	1385	3280
297	1389	3274
298	1393	3266
299	1396	3258
300	1399	3251
301	1404	3245
302	1409	3242
303	1412	3234
304	1416	3227
305	1420	3221
306	1423	3213
307	1426	3205
308	1430	3198
309	1434	3192
310	1437	3184
311	1439	3174
312	1442	3166
313	1445	3157
314	1449	3151
315	1452	3144
316	1455	3136
317	1458	3128
318	1462	3121
319	1465	3114
320	1468	3106
321	1471	3097
322	1473	3089
323	1477	3083
324	1481	3076
325	1484	3069
326	1487	3062
327	1492	3058
328	1497	3053
329	1500	3046
330	1503	3038
331	1508	3034
332	1512	3030
333	1516	3022
334	1519	3017
335	1525	3015
336	1529	3010
337	1537	3010
338	1544	3010
339	1548	3006
340	1556	3008
341	1560	3002
342	1568	3003
343	1572	2998
344	1577	2995
345	1582	2991
346	1587	2987
347	1591	2981
348	1597	2979
349	1602	2975
350	1605	2969
351	1609	2963
352	1615	2961
353	1619	2954
354	1622	2948
355	1631	2950
356	1634	2944
357	1637	2937
358	1642	2931
359	1646	2927
360	1650	2920
361	1653	2914
362	1658	2909
363	1661	2903
364	1664	2895
365	1667	2888
366	1670	2881
367	1675	2877
368	1678	2870
369	1681	2863
370	1687	2861
371	1691	2855
372	1694	2848
373	1697	2841
374	1700	2834
375	1704	2829
376	1707	2822
377	1710	2815
378	1713	2808
379	1717	2801
380	1720	2795
381	1723	2788
382	1726	2780
383	1729	2773
384	1732	2766
385	1735	2760
386	1737	2752
387	1740	2745
388	1743	2738
389	1747	2733
390	1751	2727
391	1754	2720
392	1756	2713
393	1761	2709
394	1765	2703
395	1768	2696
396	1770	2689
397	1774	2683
398	1777	2677
399	1781	2671
400	1784	2665
401	1786	2657
402	1793	2657
403	1796	2650
404	1799	2644
405	1802	2637
406	1806	2632
407	1810	2627
408	1813	2620
409	1816	2614
410	1821	2610
411	1825	2605
412	1828	2599
413	1833	2594
414	1837	2590
415	1840	2584
416	1843	2577
417	1846	2571
418	1850	2565
419	1853	2560
420	1856	2553
421	1859	2547
422	1863	2542
423	1867	2536
424	1870	2530
425	1873	2524
426	1876	2518
427	1881	2514
428	1884	2508
429	1887	2502
430	1890	2496
431	1895	2492
432	1898	2486
433	1901	2479
434	1904	2473
435	1906	2466
436	1911	2462
437	1914	2455
438	1916	2449
439	1919	2442
440	1921	2436
441	1926	2432
442	1929	2426
443	1932	2419
444	1935	2414
445	1939	2408
446	1943	2403
447	1946	2397
448	1948	2391
449	1951	2385
450	1955	2380
451	1958	2374
452	1960	2367
453	1963	2361
454	1966	2355
455	1974	2355
456	1977	2350
457	1981	2344
458	1985	2340
459	1989	2335
460	1992	2329
461	1995	2323
462	2002	2322
463	2005	2317
464	2009	2311
465	2013	2307
466	2017	2302
467	2020	2297
468	2024	2291
469	2030	2289
470	2034	2284
471	2037	2278
472	2040	2273
473	2044	2269
474	2048	2264
475	2051	2258
476	2055	2254
477	2061	2250
478	2064	2245
479	2067	2240
480	2071	2235
481	2076	2231
482	2080	2226
483	2083	2220
484	2089	2218
485	2094	2214
486	2097	2209
487	2100	2204
488	2105	2200
489	2108	2194
490	2112	2189
491	2116	2185
492	2121	2182
493	2124	2176
494	2127	2170
495	2130	2165
496	2134	2160
497	2137	2154
498	2140	2149
499	2143	2143
500	2147	2138
501	2150	2133
502	2153	2127
503	2156	2122
504	2159	2116
505	2163	2112
506	2167	2107
507	2169	2101
508	2172	2096
509	2176	2090
510	2179	2085
511	2182	2080
512	2185	2074
513	2188	2069
514	2191	2064
515	2196	2060
516	2199	2055
517	2203	2050
518	2208	2047
519	2212	2042
520	2216	2037
521	2220	2032
522	2224	2028
523	2229	2025
524	2233	2020
525	2239	2018
526	2243	2013
527	2248	2009
528	2253	2006
529	2257	2001
530	2261	1997
531	2264	1992
532	2269	1988
533	2273	1984
534	2278	1980
535	2284	1977
536	2287	1972
537	2291	1968
538	2295	1963
539	2299	1959
540	2304	1954
541	2307	1950
542	2311	1945
543	2316	1941
544	2320	1937
545	2323	1932
546	2328	1928
547	2332	1924
548	2336	1919
549	2340	1915
550	2345	1910
551	2348	1905
552	2351	1900
553	2354	1895
554	2358	1891
555	2361	1885
